"Territorial authority by variable (Monthly)","","","","","",""
"","Total","","","","",""
" ","Dunedin City","","","","",""
" ","Establishments (number)","Capacity, daily (stay-units available)","Capacity, monthly (stay-unit-nights available)","Occupancy, monthly (stay-unit-nights used)","Guest arrivals (number)","Guest nights, total (number)"
"2001M01",73,2200,68200,40172,42568,74214
"2001M02",73,2200,61600,41869,41516,70245
"2001M03",74,2218,68758,43813,46127,74739
"2001M04",75,2220,66600,35991,37488,64764
"2001M05",75,2220,68820,31515,29367,51048
"2001M06",75,2220,66600,22936,21806,36898
"2001M07",74,2219,68789,24983,23912,41624
"2001M08",73,2206,68386,27878,26565,46544
"2001M09",74,2214,66420,29850,30888,52879
"2001M10",75,2220,68820,33848,34701,57573
"2001M11",75,2219,66570,38135,39290,62831
"2001M12",77,2254,69874,37880,43507,72766
"2002M01",77,2271,70401,42157,45367,81895
"2002M02",76,2274,63672,46031,47241,80423
"2002M03",76,2271,70401,46302,48429,80412
"2002M04",75,2263,67890,37278,41077,65216
"2002M05",74,2229,69099,31985,30984,52776
"2002M06",75,2237,67110,27833,25370,45325
"2002M07",75,2237,69347,29749,28191,49438
"2002M08",75,2237,69347,30142,26789,49305
"2002M09",75,2237,67110,32173,31658,53638
"2002M10",75,2278,70618,36288,35761,59194
"2002M11",74,2257,67710,40909,40266,66078
"2002M12",75,2269,70339,40011,41284,73292
"2003M01",75,2274,70494,45308,47986,88257
"2003M02",76,2275,63700,46295,49539,80396
"2003M03",77,2287,70897,47620,47073,82190
"2003M04",76,2190,65700,40609,45141,75058
"2003M05",74,2181,67611,32724,32269,55172
"2003M06",75,2207,66210,26099,23944,40192
"2003M07",75,2207,68417,33458,32227,55974
"2003M08",75,2207,68417,30147,28544,48305
"2003M09",75,2214,66420,34888,35906,59208
"2003M10",76,2240,69440,38270,38082,63820
"2003M11",75,2195,65850,42719,43159,70416
"2003M12",75,2195,68045,42222,45873,77353
"2004M01",75,2207,68417,44123,51452,91797
"2004M02",75,2212,64148,47244,52267,87714
"2004M03",77,2235,69285,48286,50571,86756
"2004M04",78,2331,69930,41783,46348,78968
"2004M05",78,2331,72261,33525,31755,56353
"2004M06",77,2376,71280,33060,29691,53295
